"","x","z","v","c","m","s","n","totalI","maxI","peaktime"
"1",-1,0,0,0,0,1,1,7.13576272434228,0.754413347446611,0.105722874567154
"2",-0.8,0,0,0,0,1,1,7.14290388548599,0.754987452435653,0.105697551659592
"3",-0.6,0,0,0,0,1,1,7.14290555937089,0.754505906810983,0.105630110959697
"4",-0.4,0,0,0,0,1,1,7.14290539321664,0.753329944992419,0.105465479874314
"5",-0.2,0,0,0,0,1,1,7.14290524402637,0.750969060819398,0.105134960518682
"6",0,0,0,0,0,1,1,7.14290250785306,0.746114535912497,0.104455371621299
"7",0.2,0,0,0,0,1,1,7.14288676595599,0.735050848114991,0.102906691957984
"8",0.4,0,0,0,0,1,1,7.1427461201555,0.709789877524152,0.0993721274120688
"9",0.6,0,0,0,0,1,1,7.14091090299796,0.64990722332499,0.0910118095791029
"10",0.8,0,0,0,0,1,1,7.10505177858586,0.50141934360901,0.0705722293425438
"11",1,0,0,0,0,1,1,0.0073030223333494,0.001,0.13692961001002
"12",-1,0.2,0,0,0,1,1,7.14256883201113,0.753749103838875,0.105529134064591
"13",-0.8,0.2,0,0,0,1,1,7.14290495844656,0.753482576945942,0.105486854624174
"14",-0.6,0.2,0,0,0,1,1,7.14290505945792,0.752002132019778,0.105279592233142
"15",-0.4,0.2,0,0,0,1,1,7.14290490723004,0.748831698929711,0.104835736812308
"16",-0.2,0.2,0,0,0,1,1,7.14290429704248,0.742766748384846,0.103986658297016
"17",0,0.2,0,0,0,1,1,7.14290227092336,0.730218831528293,0.102229990532112
"18",0.2,0.2,0,0,0,1,1,7.14289053689309,0.70368636456262,0.098515630461936
"19",0.4,0.2,0,0,0,1,1,7.14280554639342,0.64837020128031,0.0907724838747274
"20",0.6,0.2,0,0,0,1,1,7.14171568949102,0.533566717989816,0.0747112796404028
"21",0.8,0.2,0,0,0,1,1,7.09924564902133,0.342713220674932,0.0482745967132686
"22",1,0.2,0,0,0,1,1,6.74505363064961,0.307877409747477,0.0456449164982882
"23",-1,0.4,0,0,0,1,1,7.14288882929655,0.75228226022467,0.10531904922546
"24",-0.8,0.4,0,0,0,1,1,7.14290459966385,0.750357507586235,0.105049353119115
"25",-0.6,0.4,0,0,0,1,1,7.14290444795591,0.746710362461489,0.104538758414328
"26",-0.4,0.4,0,0,0,1,1,7.1429041097313,0.739687725262015,0.103555600621081
"27",-0.2,0.4,0,0,0,1,1,7.14290321077022,0.72640094499204,0.101695476413114
"28",0,0.4,0,0,0,1,1,7.14290022485271,0.701741694380223,0.098243244661127
"29",0.2,0.4,0,0,0,1,1,7.142886502141,0.658617446260412,0.0922060634818989
"30",0.4,0.4,0,0,0,1,1,7.14278962039709,0.596711345773021,0.0835403781274812
"31",0.6,0.4,0,0,0,1,1,7.14168890860409,0.55179626131779,0.0772641133462146
"32",0.8,0.4,0,0,0,1,1,7.13250934959276,0.541708142583325,0.0759491668404549
"33",1,0.4,0,0,0,1,1,7.12689070287228,0.540510514917226,0.0758409995959934
"34",-1,0.6,0,0,0,1,1,7.14290298202204,0.749747161806131,0.104963929048619
"35",-0.8,0.6,0,0,0,1,1,7.14290447126646,0.74599742599573,0.104438947629306
"36",-0.6,0.6,0,0,0,1,1,7.1429037149879,0.739831647008972,0.10357575525715
"37",-0.4,0.6,0,0,0,1,1,7.1429032523134,0.729250326692715,0.102094386684648
"38",-0.2,0.6,0,0,0,1,1,7.14290195188849,0.712515958042212,0.0997516083576973
"39",0,0.6,0,0,0,1,1,7.142898597264,0.689806827340858,0.0965723953585284
"40",0.2,0.6,0,0,0,1,1,7.1428879369569,0.667321941634924,0.0934246690588884
"41",0.4,0.6,0,0,0,1,1,7.14284746984123,0.654795778724486,0.091671533165056
"42",0.6,0.6,0,0,0,1,1,7.14269047939058,0.650718896007915,0.0911027711316191
"43",0.8,0.6,0,0,0,1,1,7.14229304144375,0.649651434512479,0.0909583841971791
"44",1,0.6,0,0,0,1,1,7.14216143390218,0.649384029832415,0.0909226199718673
