"","x","z","v","c","m","s","n","totalI","maxI","peaktime","npeaks"
"1",-1,0,0,0,0,1,1,3.57333067318113,0.301635033690597,12.5,1
"2",-0.8,0,0,0,0,1,1,7.1105231231308,0.559747191398204,11.6,1
"3",-0.6,0,0,0,0,1,1,7.14129159474724,0.672547950636972,11.1,1
"4",-0.4,0,0,0,0,1,1,7.14277516390623,0.718620721477716,11.1,1
"5",-0.2,0,0,0,0,1,1,7.14288938611216,0.737987130192713,11.5,1
"6",0,0,0,0,0,1,1,7.1429027482537,0.74611467110187,12.3,1
"7",0.2,0,0,0,0,1,1,7.14290477937408,0.748772181541226,13.7,1
"8",0.4,0,0,0,0,1,1,7.14290416807809,0.747085571171331,16,1
"9",0.6,0,0,0,0,1,1,7.14288557142382,0.733526117105745,20.7,1
"10",0.8,0,0,0,0,1,1,7.14114710064629,0.663856423760053,33.8,1
"11",1,0,0,0,0,1,1,0.00730455858610268,0.001,0,1
"12",-1,0.2,0,0,0,1,1,6.96138255660713,0.50763804389505,10.8,1
"13",-0.8,0.2,0,0,0,1,1,7.13868704688381,0.621394844014655,10.1,1
"14",-0.6,0.2,0,0,0,1,1,7.14263482130218,0.681857786874488,9.8,1
"15",-0.4,0.2,0,0,0,1,1,7.14286950747784,0.711614497852832,9.9,1
"16",-0.2,0.2,0,0,0,1,1,7.14289730195199,0.725588808595742,10.2,1
"17",0,0.2,0,0,0,1,1,7.14290180300098,0.73021868506458,10.9,1
"18",0.2,0.2,0,0,0,1,1,7.14290284245677,0.725711042495851,12,1
"19",0.4,0.2,0,0,0,1,1,7.1428998019363,0.703214270725594,14,1
"20",0.6,0.2,0,0,0,1,1,7.14285272945727,0.62624311087439,17.9,1
"21",0.8,0.2,0,0,0,1,1,7.13772774381627,0.37946604162096,26.1,1
"22",1,0.2,0,0,0,1,1,6.74510213359426,0.307892698946048,26.7,1
"23",-1,0.4,0,0,0,1,1,7.13494468772596,0.632266113531264,8.6,1
"24",-0.8,0.4,0,0,0,1,1,7.14247448498362,0.670421833814691,8.4,1
"25",-0.6,0.4,0,0,0,1,1,7.14285426662193,0.69494998454487,8.4,1
"26",-0.4,0.4,0,0,0,1,1,7.14289236399149,0.707483249190539,8.6,1
"27",-0.2,0.4,0,0,0,1,1,7.14289925894886,0.710235962162157,8.9,1
"28",0,0.4,0,0,0,1,1,7.14290035289048,0.701741822349192,9.4,1
"29",0.2,0.4,0,0,0,1,1,7.14289754737806,0.674987641557955,10.3,1
"30",0.4,0.4,0,0,0,1,1,7.14287724789543,0.616682952479594,11.4,1
"31",0.6,0.4,0,0,0,1,1,7.14258882216376,0.554698620606998,12,1
"32",0.8,0.4,0,0,0,1,1,7.13638027954864,0.541800830157998,12.1,1
"33",1,0.4,0,0,0,1,1,7.1268916917751,0.540513522864102,12.2,1
"34",-1,0.6,0,0,0,1,1,7.14253260064907,0.69580359808747,7,1
"35",-0.8,0.6,0,0,0,1,1,7.14286064341047,0.706228701274535,7,1
"36",-0.6,0.6,0,0,0,1,1,7.14289348865906,0.711770387738579,7.1,1
"37",-0.4,0.6,0,0,0,1,1,7.14289927223975,0.711827892968364,7.2,1
"38",-0.2,0.6,0,0,0,1,1,7.142900138111,0.704949020890784,7.4,1
"39",0,0.6,0,0,0,1,1,7.14289869492765,0.689806804252847,7.7,1
"40",0.2,0.6,0,0,0,1,1,7.1428932554266,0.66925661197395,7.9,1
"41",0.4,0.6,0,0,0,1,1,7.14287278309025,0.655334773895539,8,1
"42",0.6,0.6,0,0,0,1,1,7.14277838103035,0.650789617772349,8,1
"43",0.8,0.6,0,0,0,1,1,7.14239452248136,0.649660060984423,8,1
"44",1,0.6,0,0,0,1,1,7.14216147006512,0.649385459679541,8,1
"45",-1,0.8,0,0,0,1,1,7.14288641412766,0.731730964922253,5.8,1
"46",-0.8,0.8,0,0,0,1,1,7.14289929106453,0.732878210290853,5.8,1
"47",-0.6,0.8,0,0,0,1,1,7.1429015453277,0.731975237481048,5.9,1
"48",-0.4,0.8,0,0,0,1,1,7.14290160520992,0.72912628266239,5.9,1
"49",-0.2,0.8,0,0,0,1,1,7.14290107124463,0.724240470258461,6,1
"50",0,0.8,0,0,0,1,1,7.14290096732073,0.719133925169069,6,1
"51",0.2,0.8,0,0,0,1,1,7.1428991203476,0.715730285304134,6,1
"52",0.4,0.8,0,0,0,1,1,7.1428957682081,0.714214138420556,6,1
"53",0.6,0.8,0,0,0,1,1,7.14288744684044,0.713647432028234,6,1
"54",0.8,0.8,0,0,0,1,1,7.1428753270083,0.713445385990992,6,1
"55",1,0.8,0,0,0,1,1,7.14287017530276,0.713372183170648,6,1
"56",-1,1,0,0,0,1,1,7.14290308196265,0.756112873560536,4.9,1
"57",-0.8,1,0,0,0,1,1,7.14290312938203,0.756112593581681,4.9,1
"58",-0.6,1,0,0,0,1,1,7.14290296854215,0.756112145168218,4.9,1
"59",-0.4,1,0,0,0,1,1,7.14290280721608,0.756112034080147,4.9,1
"60",-0.2,1,0,0,0,1,1,7.14290535978158,0.756112700782396,4.9,1
"61",0,1,0,0,0,1,1,7.14290319593251,0.756112110142799,4.9,1
"62",0.2,1,0,0,0,1,1,7.1429031017509,0.756112070389915,4.9,1
"63",0.4,1,0,0,0,1,1,7.14290308302472,0.75611210807068,4.9,1
"64",0.6,1,0,0,0,1,1,7.14290306873814,0.756112110205904,4.9,1
"65",0.8,1,0,0,0,1,1,7.14290305838652,0.756112112010894,4.9,1
"66",1,1,0,0,0,1,1,7.14290306030069,0.756112113514352,4.9,1
